Drug_Pair_CUIs,Interaction_Class
C0085149_C2987648,4
C0771204_C0085149,0
C0771204_C2987648,4
C2987648_C0085149,0
C2987648_C0771204,0
C0066677_C2974289,5
C2974289_C0066677,0
C0014912_C2987648,3
C2987648_C0014912,0
C1516119_C0025605,0
C0025605_C1516119,4
C0008838_C0114873,0
C0114873_C0008838,0
C0765273_C3501358,1
C3501358_C0765273,0
C0293359_C0982221,0
C0982221_C0293359,0
C3818721_C0293359,0
C3818721_C0982221,0
C0038742_C0146224,0
C0054836_C0146224,0
C0146224_C0054836,4
C0246415_C0771375,0
C0246415_C0069717,0
C0771375_C0246415,0
C0771375_C0069717,0
C0069717_C0246415,1
C0069717_C0771375,1
C3818721_C0006463,0
C0006463_C3818721,2
C0006674_C3818721,5
C3818721_C0006674,0
C0378482_C0650237,0
C0378482_C0146224,0
C0650237_C0378482,0
C0650237_C0146224,0
C0146224_C0378482,3
C0146224_C0650237,3
C0012258_C1135135,0
C1135135_C0012258,4
C0246415_C0771375,0
C0246415_C1456409,5
C0771375_C0246415,0
C0771375_C1456409,5
C1456409_C0246415,0
C1456409_C0771375,0
C3853921_C0146224,0
C0146224_C3853921,3
C0031412_C0123931,0
C0123931_C0031412,5
C0034283_C4256138,0
C0034283_C4256139,0
C0034283_C4256140,0
C0034283_C4256141,0
C0034283_C0025605,0
C4256138_C0034283,0
C4256138_C4256139,0
C4256138_C4256140,0
C4256138_C4256141,0
C4256138_C0025605,0
C4256139_C0034283,0
C4256139_C4256138,0
C4256139_C4256140,0
C4256139_C4256141,0
C4256139_C0025605,0
C4256140_C0034283,0
C4256140_C4256138,0
C4256140_C4256139,0
C4256140_C4256141,0
C4256140_C0025605,0
C4256141_C0034283,0
C4256141_C4256138,0
C4256141_C4256139,0
C4256141_C4256140,0
C4256141_C0025605,0
C0025605_C0034283,0
C0025605_C4256138,0
C0025605_C4256139,0
C0025605_C4256140,0
C0025605_C4256141,0
C0078847_C3818721,2
C3818721_C0078847,0
C1135135_C1999375,2
C1999375_C1135135,0
C0028066_C0146224,0
C0146224_C0028066,3
C0002598_C0146224,0
C0146224_C0002598,4
C2974289_C0033209,0
C0033209_C2974289,5
C0765273_C1609931,5
C1609931_C0765273,0
C1122962_C0209738,3
C0209738_C1122962,0
C2935840_C0005308,0
C0016875_C0369246,0
C0016875_C4255637,0
C0016875_C1135132,2
C0369246_C0016875,0
C0369246_C4255637,0
C0369246_C1135132,2
C4255637_C0016875,0
C4255637_C0369246,0
C4255637_C1135132,2
C1135132_C0016875,0
C1135132_C0369246,0
C1135132_C4255637,0
C3818721_C0031404,0
C0064113_C0025677,0
C0025677_C0064113,2
C3818721_C0070122,0
C0070122_C3818721,0
C1506770_C0024027,0
C0024027_C1506770,2
C0064113_C0123931,0
C0031935_C0146224,0
C0146224_C0031935,0
C0010934_C0146224,1
C0146224_C0010934,0
C0009002_C4085891,0
C0009002_C2974289,5
C4085891_C0009002,0
C4085891_C2974289,5
C2974289_C0009002,0
C2974289_C4085891,0
C0285590_C2974289,2
C2974289_C0285590,0
C0016875_C0369246,0
C0016875_C4255637,0
C0016875_C0042682,0
C0369246_C0016875,0
C0369246_C4255637,0
C0369246_C0042682,0
C4255637_C0016875,0
C4255637_C0369246,0
C4255637_C0042682,0
C0042682_C0016875,2
C0042682_C0369246,2
C0042682_C4255637,2
C0073633_C0078257,2
C0078257_C0073633,0
C2935840_C0032950,0
C3496793_C0015133,0
C0796392_C0123931,0
C0123931_C0796392,0
C0025677_C0059865,4
C0059865_C0025677,0
C0016277_C0699601,0
C0016277_C4082694,0
C0016277_C1122962,2
C0699601_C0016277,0
C0699601_C4082694,0
C0699601_C1122962,2
C4082694_C0016277,0
C4082694_C0699601,0
C4082694_C1122962,2
C1122962_C0016277,0
C1122962_C0699601,0
C1122962_C4082694,0
C0006644_C1170114,0
C0006644_C0146224,3
C1170114_C0006644,0
C1170114_C0146224,3
C0146224_C0006644,0
C0146224_C1170114,0
C1506770_C1700874,4
C1700874_C1506770,0
C0210657_C1690432,1
C1690432_C0210657,0
C0015133_C2980094,4
C2980094_C0015133,0
C0285590_C0765273,0
C0765273_C0285590,5
C0031412_C0146224,0
C0013089_C0546861,0
C0013089_C2974289,2
C0546861_C0013089,0
C0546861_C2974289,2
C2974289_C0013089,0
C2974289_C0546861,0
C0144576_C0678133,0
C0144576_C0388976,5
C0144576_C1311070,5
C0678133_C0144576,0
C0678133_C0388976,5
C0678133_C1311070,5
C0388976_C0144576,0
C0388976_C0678133,0
C0388976_C1311070,0
C1311070_C0144576,0
C1311070_C0678133,0
C1311070_C0388976,0
C0064113_C0146224,0
C0146224_C0064113,4
C0015133_C2001856,4
C2001856_C0015133,0
C0144576_C0678133,0
C0144576_C0076080,0
C0678133_C0144576,0
C0678133_C0076080,0
C0076080_C0144576,1
C0076080_C0678133,1
C1506770_C1099259,4
C1506770_C1831731,4
C1099259_C1506770,0
C1099259_C1831731,0
C1831731_C1506770,0
C1831731_C1099259,0
C0016277_C0699601,0
C0016277_C4082694,0
C0016277_C0042682,2
C0699601_C0016277,0
C0699601_C4082694,0
C0699601_C0042682,2
C4082694_C0016277,0
C4082694_C0699601,0
C4082694_C0042682,2
C0042682_C0016277,0
C0042682_C0699601,0
C0042682_C4082694,0
C0015133_C3192263,4
C3192263_C0015133,0
C0073571_C0025605,1
C0025605_C0073571,0
C0031364_C0765273,0
C0765273_C0031364,2
C3818721_C0527379,0
C0527379_C3818721,2
C3818721_C1998098,0
C1998098_C3818721,2
C0027302_C1122962,0
C1122962_C0027302,2
C0126174_C3818721,2
C3818721_C0126174,0
C0144576_C0678133,0
C0144576_C1176329,2
C0678133_C0144576,0
C0678133_C1176329,2
C1176329_C0144576,0
C1176329_C0678133,0
C0765273_C2986924,0
C2986924_C0765273,0
C0015133_C1176308,4
C1176308_C0015133,0
C0246415_C0771375,0
C0246415_C3273711,4
C0771375_C0246415,0
C0771375_C3273711,4
C3273711_C0246415,0
C3273711_C0771375,0
C1506770_C0031990,0
C1506770_C0209263,0
C0031990_C1506770,2
C0031990_C0209263,0
C0209263_C1506770,2
C0209263_C0031990,0
C0015133_C1831905,2
C1831905_C0015133,0
C1516119_C3818721,4
C3818721_C1516119,0
C0765273_C2316164,5
C2316164_C0765273,0
C0765273_C3853822,5
C3853822_C0765273,0
C0015133_C2973446,4
C2973446_C0015133,0
C0004609_C4256145,0
C0004609_C0025605,1
C4256145_C0004609,0
C4256145_C0025605,1
C0025605_C0004609,0
C0025605_C4256145,0
C0025942_C0765273,0
C0765273_C0025942,2
C0671970_C0765273,0
C0765273_C0671970,4
C0087161_C0765273,1
C0765273_C0087161,0
C0052796_C0146224,0
C0146224_C0052796,0
C1506770_C0026088,0
C0026088_C1506770,4
C0025677_C0016377,4
C0016377_C0025677,0
C0011685_C0146224,0
C0146224_C0011685,3
C0144576_C0678133,0
C0144576_C1456409,5
C0678133_C0144576,0
C0678133_C1456409,5
C1456409_C0144576,0
C1456409_C0678133,0
C0068485_C0146224,0
C0146224_C0068485,3
C0042682_C1609165,5
C1609165_C0042682,0
C0765273_C3818721,5
C3818721_C0765273,0
C2830183_C0297960,0
C0297960_C2830183,4
C0144576_C0678133,0
C0144576_C0677667,0
C0678133_C0144576,0
C0678133_C0677667,0
C0677667_C0144576,1
C0677667_C0678133,1
C0015133_C2974289,2
C2974289_C0015133,0
C1135135_C3273719,2
C3273719_C1135135,0
C2935840_C0063041,0
C0024476_C1122962,0
C0024476_C0591789,0
C0591789_C1122962,0
C0591789_C0024476,0
C0055729_C2974289,2
C2974289_C0055729,0
C0529793_C2974289,4
C2974289_C0529793,0
C0020823_C0040207,0
C0040207_C0020823,2
C0162680_C1337333,0
C0162680_C2974289,0
C1337333_C0162680,0
C1337333_C2974289,0
C2974289_C0162680,4
C2974289_C1337333,4
C0028978_C2987648,0
C2987648_C0028978,0
C0009262_C2987648,4
C2987648_C0009262,0
C0025376_C3818721,2
C3818721_C0025376,0
C1122962_C0123931,3
C0123931_C1122962,0
C0073633_C1122962,4
C1122962_C0073633,0
C0246415_C0771375,0
C0246415_C0677667,0
C0771375_C0246415,0
C0771375_C0677667,0
C0677667_C0246415,1
C0677667_C0771375,1
C0014942_C0700903,0
C0014942_C2987648,0
C0700903_C0014942,0
C0700903_C2987648,0
C2987648_C0014942,0
C2987648_C0700903,0
C0061202_C2974289,5
C2974289_C0061202,0
C0093999_C0146224,0
C0146224_C0093999,1
C0754188_C2974289,2
C2974289_C0754188,0
C0039601_C1515405,0
C0039601_C0146224,3
C1515405_C0039601,0
C1515405_C0146224,3
C0146224_C0039601,0
C0146224_C1515405,0
C0144576_C0678133,0
C0144576_C2828242,4
C0678133_C0144576,0
C0678133_C2828242,4
C2828242_C0144576,0
C2828242_C0678133,0
C3818721_C0008287,0
C0073633_C0025605,4
C0025605_C0073633,0
C0012373_C1135132,2
C1135132_C0012373,0
C0014921_C0146224,0
C0146224_C0014921,1
C3496793_C0042682,0
C2974289_C1831808,0
C1831808_C2974289,2
C0246415_C0771375,0
C0246415_C0076080,0
C0771375_C0246415,0
C0771375_C0076080,0
C0076080_C0246415,1
C0076080_C0771375,1
C2974289_C0028833,0
C2974289_C0031923,0
C0031923_C2974289,0
C0016384_C2974289,2
C2974289_C0016384,0
C1506770_C0015011,0
C0015011_C1506770,2
C3818721_C0041014,0
C0796545_C0015133,4
C0015133_C0796545,0
C0068485_C1122962,0
C1122962_C0068485,2
C0045093_C2987417,4
C2987417_C0045093,0
C2935840_C0020823,0
C1135135_C0040979,2
C0040979_C1135135,0
C2974289_C1721377,0
C1721377_C2974289,2
C0132326_C2930490,2
C2930490_C0132326,0
C0765273_C0965129,5
C0965129_C0765273,0
C3818721_C3272698,0
C3272698_C3818721,2
C0028420_C2974289,2
C2974289_C0028420,0
C0022322_C2974289,0
C2974289_C0022322,0
C1506770_C0020740,0
C0020740_C1506770,2
C0813171_C3475323,0
C0813171_C4306004,0
C0813171_C0042682,0
C3475323_C0813171,0
C3475323_C4306004,0
C3475323_C0042682,0
C4306004_C0813171,0
C4306004_C3475323,0
C4306004_C0042682,0
C0042682_C0813171,5
C0042682_C3475323,5
C0042682_C4306004,5
C0765273_C2830183,5
C2830183_C0765273,0
C0537270_C1815806,0
C1815806_C0537270,0
C3818721_C0537270,0
C3818721_C1815806,0
C0246415_C0771375,0
C0246415_C0040207,0
C0771375_C0246415,0
C0771375_C0040207,0
C3853921_C0035608,0
C1506770_C1721377,2
C1721377_C1506770,0
C0015020_C3537278,0
C0015020_C0022180,0
C3537278_C0015020,0
C3537278_C0022180,0
C0022180_C0015020,1
C0022180_C3537278,1
C0529351_C1135135,2
C1135135_C0529351,0
C0541315_C3818721,4
C3818721_C0541315,0
C1176309_C1135132,4
C1135132_C1176309,0
C0014806_C0600214,0
C0014806_C3818721,4
C0600214_C0014806,0
C0600214_C3818721,4
C3818721_C0014806,0
C3818721_C0600214,0
C0064113_C1122962,0
C1122962_C0064113,2
C0015133_C1527027,2
C1527027_C0015133,0
C0015020_C3537278,0
C0015020_C0146011,0
C3537278_C0015020,0
C3537278_C0146011,0
C0146011_C0015020,1
C0146011_C3537278,1
C0008838_C0037209,3
C0037209_C0008838,0
C0765273_C0009011,5
C0009011_C0765273,0
C1506770_C0040207,0
C0040207_C1506770,2
C0025677_C0038675,0
C1135135_C0008996,4
C0008996_C1135135,0
C0025677_C0036078,1
C0025677_C4255898,1
C0036078_C0025677,0
C0036078_C4255898,0
C4255898_C0025677,0
C4255898_C0036078,0
C2987648_C0023992,0
C1706668_C0020823,0
C0292818_C2987648,4
C2987648_C0292818,0
C0061202_C2987648,3
C2987648_C0061202,0
C0014942_C0700903,0
C0014942_C2974289,0
C0700903_C0014942,0
C0700903_C2974289,0
C2974289_C0014942,0
C2974289_C0700903,0
C0144576_C0678133,0
C0144576_C0040207,0
C0678133_C0144576,0
C0678133_C0040207,0
C0040207_C0144576,2
C0040207_C0678133,2
C0140575_C3818721,5
C3818721_C0140575,0
C3818721_C0035608,0
C0144576_C0678133,0
C0144576_C0010711,0
C0678133_C0144576,0
C0678133_C0010711,0
C0010711_C0144576,1
C0010711_C0678133,1
C0008838_C0062073,3
C0008838_C4082272,3
C0062073_C0008838,0
C0062073_C4082272,0
C4082272_C0008838,0
C4082272_C0062073,0
C0031935_C1122962,0
C1122962_C0031935,2
C1706668_C0210657,0
C0126174_C3853921,0
C3853921_C0126174,0
C1122962_C3818721,0
C3818721_C1122962,0
C0120726_C2974289,2
C2974289_C0120726,0
C0015133_C0008996,4
C0008996_C0015133,0
C0144576_C0678133,0
C0144576_C0015011,0
C0678133_C0144576,0
C0678133_C0015011,0
C0015011_C0144576,2
C0015011_C0678133,2
C0248719_C0146224,3
C0146224_C0248719,0
C0209227_C3818721,0
C3818721_C0209227,0
C1706668_C0008838,0
C0014806_C0600214,0
C0014806_C3853921,2
C0600214_C0014806,0
C0600214_C3853921,2
C3853921_C0014806,0
C3853921_C0600214,0
C2935840_C0004475,0
C0026549_C2987648,4
C2987648_C0026549,0
C0246415_C0771375,0
C0246415_C0218986,0
C0771375_C0246415,0
C0771375_C0218986,0
C0218986_C0246415,4
C0218986_C0771375,4
C0246415_C0771375,0
C0246415_C0010711,0
C0771375_C0246415,0
C0771375_C0010711,0
C0010711_C0246415,1
C0010711_C0771375,1
C0127615_C0253787,0
C0253787_C0127615,0
C0025677_C0127615,0
C0025677_C0253787,0
C0114873_C0146224,0
C0146224_C0114873,0
C0006949_C2974289,2
C2974289_C0006949,0
C0378482_C0650237,0
C0378482_C1122962,0
C0650237_C0378482,0
C0650237_C1122962,0
C1506770_C1998098,4
C1998098_C1506770,0
C0036078_C4255898,0
C0036078_C0146224,1
C4255898_C0036078,0
C4255898_C0146224,1
C0146224_C0036078,0
C0146224_C4255898,0
C1506770_C1831808,4
C1831808_C1506770,0
C1506770_C0674428,0
C0674428_C1506770,2
C0015133_C0012772,2
C0012772_C0015133,0
C0081876_C2987648,3
C2987648_C0081876,0
C0025942_C1122962,0
C1122962_C0025942,2
C1122962_C2986924,3
C2986924_C1122962,0
C1122962_C2930789,0
C2930789_C1122962,0
C0132326_C2974289,2
C2974289_C0132326,0
C2935840_C0210657,0
C1122962_C2316164,2
C2316164_C1122962,0
C2974289_C0015772,0
C1122962_C3853822,3
C3853822_C1122962,0
C0765273_C0072916,5
C0072916_C0765273,0
C1609931_C0123931,0
C0123931_C1609931,5
C0021735_C0751600,0
C0021735_C0025605,4
C0751600_C0021735,0
C0751600_C0025605,4
C0025605_C0021735,0
C0025605_C0751600,0
C2931926_C2935840,0
C0025887_C0015133,2
C0015133_C0025887,0
C2935840_C0008838,0
C0015020_C3537278,0
C0015020_C0002679,0
C0015020_C1145701,0
C3537278_C0015020,0
C3537278_C0002679,0
C3537278_C1145701,0
C0002679_C0015020,1
C0002679_C3537278,1
C0002679_C1145701,0
C1145701_C0015020,1
C1145701_C3537278,1
C1145701_C0002679,0
C0010927_C0728898,0
C0728898_C0010927,0
C2935840_C0010927,0
C2935840_C0728898,0
C0003420_C3818721,2
C3818721_C0003420,0
C2973446_C2935840,0
C0008163_C1516481,0
C1516481_C0008163,0
C2935840_C0008163,0
C2935840_C1516481,0
C3818721_C0971579,0
C0971579_C3818721,2
C0008838_C1690432,1
C1690432_C0008838,0
C0246415_C0771375,0
C0246415_C3713066,4
C0246415_C4519101,4
C0771375_C0246415,0
C0771375_C3713066,4
C0771375_C4519101,4
C3713066_C0246415,0
C3713066_C0771375,0
C3713066_C4519101,0
C4519101_C0246415,0
C4519101_C0771375,0
C4519101_C3713066,0
C1699926_C2935840,0
C0015133_C3273719,4
C3273719_C0015133,0
C0025859_C3853921,0
C3853921_C0025859,0
C0055856_C0620902,0
C0055856_C3818721,2
C0620902_C0055856,0
C0620902_C3818721,2
C3818721_C0055856,0
C3818721_C0620902,0
C0030557_C0025605,0
C1506770_C0025677,0
C0025677_C1506770,2
C0972314_C0025605,0
C0025605_C0972314,2
C0123931_C0674428,0
C2935840_C0031453,0
C0144576_C0678133,0
C0144576_C0290883,0
C0678133_C0144576,0
C0678133_C0290883,0
C0290883_C0144576,2
C0290883_C0678133,2
C0008996_C2974289,4
C2974289_C0008996,0
C0031507_C0078257,5
C0078257_C0031507,0
C0024027_C0123931,2
C0123931_C0024027,0
C0000956_C2974289,2
C2974289_C0000956,0
C0055856_C0620902,0
C0055856_C3853921,2
C0620902_C0055856,0
C0620902_C3853921,2
C3853921_C0055856,0
C3853921_C0620902,0
C0025605_C3273711,4
C3273711_C0025605,0
C0025942_C0123931,0
C0123931_C0025942,2
C0040207_C0015133,2
C0015133_C0040207,0
C0015020_C3537278,0
C0015020_C0054015,1
C0015020_C1177218,1
C3537278_C0015020,0
C3537278_C0054015,1
C3537278_C1177218,1
C0054015_C0015020,0
C0054015_C3537278,0
C0054015_C1177218,0
C1177218_C0015020,0
C1177218_C3537278,0
C1177218_C0054015,0
C0002598_C0123931,0
C0020823_C0140575,0
C0140575_C0020823,5
C0078257_C1456409,5
C1456409_C0078257,0
C0030883_C4256112,0
C0030883_C2974289,5
C4256112_C0030883,0
C4256112_C2974289,5
C2974289_C0030883,0
C2974289_C4256112,0
C0010980_C2974289,2
C2974289_C0010980,0
C0033497_C0146224,3
C0146224_C0033497,0
C0765273_C0085170,5
C0085170_C0765273,0
C0031412_C1506770,5
C1506770_C0031412,0
C0074393_C0123931,0
C0123931_C0074393,2
C0034403_C0123931,0
C0123931_C0034403,2
C0031935_C0123931,0
C0123931_C0031935,2
C3853822_C0123931,0
C0123931_C3853822,2
C0144576_C0678133,0
C0144576_C0030040,1
C0678133_C0144576,0
C0678133_C0030040,1
C0030040_C0144576,0
C0030040_C0678133,0
C0042682_C0031507,0
C2316164_C0123931,0
C0123931_C2316164,2
C0026056_C2974289,4
C2974289_C0026056,0
C0015020_C3537278,0
C0015020_C0006400,0
C0015020_C0873118,0
C3537278_C0015020,0
C3537278_C0006400,0
C3537278_C0873118,0
C0006400_C0015020,1
C0006400_C0015020,1
C0006400_C3537278,1
C0006400_C3537278,1
C0006400_C0873118,0
C0873118_C0015020,1
C0873118_C3537278,1
C0873118_C0006400,0
C0022614_C0079883,0
C0022614_C0701928,0
C0022614_C2974289,0
C0079883_C0022614,0
C0079883_C0701928,0
C0079883_C2974289,0
C0701928_C0022614,0
C0701928_C0079883,0
C0701928_C2974289,0
C2974289_C0022614,0
C2974289_C0079883,0
C2974289_C0701928,0
C0000970_C1258986,0
C0000970_C0146224,3
C1258986_C0000970,0
C1258986_C0146224,3
C0146224_C0000970,0
C0146224_C1258986,0
C1506770_C0043031,0
C1506770_C4292380,0
C0043031_C1506770,4
C0043031_C4292380,0
C4292380_C1506770,4
C4292380_C0043031,0
C1506770_C0028040,0
C1506770_C0068722,0
C1506770_C4490579,0
C0028040_C1506770,0
C0028040_C0068722,0
C0028040_C4490579,0
C0068722_C1506770,0
C0068722_C0028040,0
C0068722_C4490579,0
C4490579_C1506770,0
C4490579_C0028040,0
C4490579_C0068722,0
C0015133_C0031406,0
C0008783_C0123931,2
C0123931_C0008783,0
C3818721_C0123931,0
C0123931_C3818721,2
C0004147_C0025605,0
C0025605_C0004147,2
C1506770_C0393080,0
C0393080_C1506770,2
C1455147_C2699562,0
C1455147_C3818721,2
C2699562_C1455147,0
C2699562_C3818721,2
C3818721_C1455147,0
C3818721_C2699562,0
C0040207_C0123931,2
C0123931_C0040207,0
C0014912_C2974289,2
C2974289_C0014912,0
C0045093_C2987648,4
C2987648_C0045093,0
C1135135_C0002026,2
C0002026_C1135135,0
C1455147_C2699562,0
C1455147_C3853921,2
C2699562_C1455147,0
C2699562_C3853921,2
C3853921_C1455147,0
C3853921_C2699562,0
C0020823_C1690432,1
C1690432_C0020823,0
C2935436_C2935840,0
C2935436_C3643461,0
C3643461_C2935840,0
C3643461_C2935436,0
C0029309_C3818721,2
C3818721_C0029309,0
C0246415_C0771375,0
C0246415_C0393080,0
C0771375_C0246415,0
C0771375_C0393080,0
C0393080_C0246415,2
C0393080_C0771375,2
C0085149_C0771204,0
C0085149_C2974289,4
C0771204_C0085149,0
C0771204_C2974289,4
C2974289_C0085149,0
C2974289_C0771204,0
C3853921_C0123931,0
C0123931_C3853921,3
C1176306_C0123931,2
C0123931_C1176306,0
C0010583_C1880207,0
C0010583_C2974289,2
C1880207_C0010583,0
C1880207_C2974289,2
C2974289_C0010583,0
C2974289_C1880207,0
C0144576_C0678133,0
C0144576_C0073372,0
C0678133_C0144576,0
C0678133_C0073372,0
C0073372_C0144576,5
C0073372_C0678133,5
C0144576_C0678133,0
C0144576_C0031441,0
C0678133_C0144576,0
C0678133_C0031441,0
C0031441_C0144576,1
C0031441_C0678133,1
C0055856_C0620902,0
C0055856_C0146224,0
C0620902_C0055856,0
C0620902_C0146224,0
C0146224_C0055856,4
C0146224_C0620902,4
C0011685_C2974289,4
C2974289_C0011685,0
C1506770_C0025859,0
C0025859_C1506770,0
C0008161_C0025605,0
C0025605_C0008161,1
C1506770_C0754188,0
C0754188_C1506770,2
C1176306_C0015133,2
C0015133_C1176306,0
C0123931_C0525005,0
C1176020_C0123931,0
C0123931_C1176020,2
C0058056_C0025605,0
C0025605_C0058056,1
C0026259_C0146224,0
C0146224_C0026259,1
C1707080_C2935840,0
C0002598_C2974289,2
C2974289_C0002598,0
C1122962_C0085170,2
C0085170_C1122962,0
C0246415_C0771375,0
C0246415_C0073372,0
C0771375_C0246415,0
C0771375_C0073372,0
C0073372_C0246415,5
C0073372_C0771375,5
C1506770_C0123931,0
C0123931_C1506770,2
C3818721_C3496793,0
C0015133_C2347624,1
C2347624_C0015133,0
C3467876_C0015133,0
C0015133_C2987648,4
C2987648_C0015133,0
C0030040_C0025605,0
C0025605_C0030040,1
C0246415_C0771375,0
C0246415_C0016384,0
C0771375_C0246415,0
C0771375_C0016384,0
C0016384_C0246415,2
C0016384_C0771375,2
C2935840_C0010934,0
C1506770_C0010980,0
C0010980_C1506770,2
C0042291_C0080356,0
C0042291_C2974289,4
C0080356_C0042291,0
C0080356_C2974289,4
C2974289_C0042291,0
C2974289_C0080356,0
C1718383_C2987648,3
C2987648_C1718383,0
C0025677_C2830183,1
C2830183_C0025677,0
C1609165_C2935840,0
C0246415_C0771375,0
C0246415_C0123931,0
C0771375_C0246415,0
C0771375_C0123931,0
C0123931_C0246415,4
C0123931_C0771375,4
C0078257_C0033399,2
C0033399_C0078257,0
C0039902_C1883309,0
C1883309_C0039902,0
C2935840_C0039902,0
C2935840_C1883309,0
C0045093_C0296800,4
C0045093_C0379247,4
C0296800_C0045093,0
C0296800_C0379247,0
C0379247_C0045093,0
C0379247_C0296800,0
C1122962_C0016368,2
C0016368_C1122962,0
C0015133_C2987417,4
C2987417_C0015133,0
C1506770_C0013089,0
C1506770_C0546861,0
C0013089_C1506770,4
C0013089_C0546861,0
C0546861_C1506770,4
C0546861_C0013089,0
C3818721_C0025219,0
C0025219_C3818721,0
C0120726_C0765273,0
C0765273_C0120726,2
C1135132_C0022625,0
C1135132_C4255812,0
C0022625_C1135132,2
C0022625_C4255812,0
C4255812_C1135132,2
C4255812_C0022625,0
C3467876_C1135135,0
C1455147_C2699562,0
C1455147_C0146224,0
C2699562_C1455147,0
C2699562_C0146224,0
C0146224_C1455147,1
C0146224_C2699562,1
C1506770_C0146224,0
C0146224_C1506770,4
C1135135_C2987648,3
C2987648_C1135135,0
C2935840_C0010592,0
C0035179_C0146224,4
C0146224_C0035179,0
C0045093_C3496793,3
C3496793_C0045093,0
C0024027_C3818721,2
C3818721_C0024027,0
C0045093_C2980094,4
C2980094_C0045093,0
C0025677_C0033405,3
C0033405_C0025677,0
C0009010_C0146224,0
C0146224_C0009010,3
C1135135_C2987417,4
C2987417_C1135135,0
C0144576_C0678133,0
C0144576_C0039871,5
C0678133_C0144576,0
C0678133_C0039871,5
C0039871_C0144576,0
C0039871_C0678133,0
C0246415_C0771375,0
C0246415_C0146224,0
C0771375_C0246415,0
C0771375_C0146224,0
C0146224_C0246415,1
C0146224_C0771375,1
C0007257_C1516302,0
C1516302_C0007257,0
C2935840_C0007257,0
C2935840_C1516302,0
C0209368_C3853921,3
C3853921_C0209368,0
C0025677_C0040377,0
C0040377_C0025677,4
C0244404_C3818721,4
C3818721_C0244404,0
C0541315_C0025605,0
C0025605_C0541315,4
C2935840_C1144149,0
C0011777_C0146224,0
C0146224_C0011777,1
C0144576_C0678133,0
C0144576_C2987417,5
C0678133_C0144576,0
C0678133_C2987417,5
C2987417_C0144576,0
C2987417_C0678133,0
C0286738_C0146224,0
C0146224_C0286738,4
C1506770_C0529793,0
C0529793_C1506770,4
C0796392_C3658706,1
C3658706_C0796392,0
C0045093_C1176308,4
C1176308_C0045093,0
C0041014_C0008838,3
C0008838_C0041014,0
C2935840_C0541315,0
C2935840_C0671970,0
C1176415_C3818721,2
C3818721_C1176415,0
C0144576_C0678133,0
C0144576_C2347624,5
C0678133_C0144576,0
C0678133_C2347624,5
C2347624_C0144576,0
C2347624_C0678133,0
C0144576_C0678133,0
C0678133_C0144576,0
